country,year,cereal_yield,fdi_perc_gdp,en_per_gdp,en_per_cap,co2_ttl,co2_per_cap,co2_per_gdp,pop_urb_aggl_perc,prot_area_perc,gdp,gni_per_cap,under_5_mort_rate,pop_growth_perc,pop,urb_pop_growth_perc,urb_pop
AGO,1991,417.4,5.44951457868676,179.271884079676,565.451027196188,4367.397,0.409948922961107,129.971142081192,15.2907279897761,12.3998220487,12193746624.6789,820.0,239.1,3.03486600826632,10653515.0,6.68703162667795,4099472.572
ARE,1991,1594.0,0.0764748673681836,245.977706132853,12262.38813035,57010.849,29.851550309664,598.807980274804,26.3772036200422,0.266886484808,33919640389.9773,19340.0,20.5,5.44285204581232,1909812.0,5.26570408097411,1507987.5552
ARG,1991,2666.1,1.28557881763899,173.122857268895,1434.96060066516,117021.304,3.5360727831825,426.614517117445,39.119646140419,4.77246763254,189719989668.103,3960.0,25.8,1.37259321757337,33093579.0,1.76263615785648,28903931.8986
AUS,1991,1603.3,1.30691206293886,208.686644459616,4926.72778292062,281530.258,16.2884898171719,689.948873376794,60.3567981948623,7.91527299734,329965465819.01,18380.0,8.6,1.27457749765855,17284000.0,1.43837777851636,14784733.6
AUT,1991,5463.0,0.209141663473539,128.939159582508,3381.07379003113,65888.656,8.44845612181925,322.18664831536796,19.746120574199,20.991142712,172166366529.169,21200.0,8.9,1.1349991250421,7798899.0,1.13499919666777,5131675.542
BGD,1991,2585.7,0.00449146992888449,154.496129842966,116.511475882494,15940.449,0.147913464227,196.135681928746,9.44370431543193,1.5379218511,30957444767.4221,300.0,137.9,2.35919934068732,107768749.0,4.26020706318464,21747733.5482
BGR,1991,3990.0,0.510803226732379,367.387479550323,2560.05444856348,59706.094,6.91683202038925,992.61852960576,13.7892608897127,2.41686992785,10943548723.7608,1620.0,22.3,-0.991362523475423,8632000.0,-0.570562446016234,5755817.6
BOL,1991,1358.0,0.97318874574732,124.898118124591,394.957523180048,5779.192,0.848155678579783,268.213774682319,25.6559816397053,8.58362240762,5343259488.68929,760.0,116.7,2.30664303808592,6813834.0,3.6642916154802,3840276.8424
BRA,1991,1850.6,0.270782606204945,131.112804461359,939.25664742651,219330.604,1.44157142038667,201.231976665919,35.1379137977368,10.9945413211,407337832905.405,2870.0,57.1,1.65458052183399,152146887.0,2.4535195251819,114718752.798
CAN,1991,2580.7,0.480499567323563,283.945526351508,7388.56367426004,449053.486,15.93988909069,612.5764624061279,39.9682916145998,6.01616041194,598208082395.042,20420.0,8.0,1.36050604544286,28171681.963727,1.64730066256417,21641486.0845351
